               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11356,            0.018578,                   0,             0.21189,            0.051282,            0.084365,            0.028565,            0.076527,            0.012078,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.085605,            0.026042,                   0,             0.29952,             0.35897,             0.31576,             0.11321,            0.059509,            0.011701,                   0,            0.049955,           0.0049555,           0.0049555
                   2,            0.076244,            0.026908,                   0,             0.29637,             0.33333,             0.27183,            0.061025,            0.067552,           0.0098016,                   0,            0.023657,           0.0066566,           0.0066566
                   3,            0.068701,            0.026501,                   0,             0.43464,             0.57176,             0.42646,             0.15587,            0.056464,            0.010015,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.065713,            0.024922,                   0,             0.41599,             0.46154,             0.36357,             0.13045,            0.054634,           0.0093363,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.058476,            0.025667,                   0,              0.4403,             0.64103,             0.48993,             0.23401,            0.048357,            0.008869,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.052645,             0.02401,                   0,             0.61552,             0.58974,             0.56386,             0.25128,            0.050279,           0.0081086,                   0,             0.00505,             0.00505,             0.00505
                   7,              0.0486,            0.021259,                   0,             0.79874,             0.64103,             0.72451,             0.37839,            0.045623,           0.0081375,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.043508,            0.021258,                   0,             0.67181,             0.66667,             0.63068,             0.29387,            0.043892,           0.0080272,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.041632,            0.020632,                   0,             0.89501,             0.66667,             0.74004,             0.48896,            0.038013,           0.0078745,                   0,             0.00208,             0.00208,             0.00208
