               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12096,            0.033649,                   0,           0.0033333,            0.051282,           0.0035735,            0.001421,            0.071777,            0.022538,                   0,              0.0883,              0.0013,              0.0013
                   1,            0.090262,            0.033866,                   0,             0.12448,            0.040603,            0.047725,            0.013836,            0.051529,            0.018637,                   0,            0.075673,           0.0026733,           0.0026733
                   2,            0.078413,            0.032977,                   0,              0.4949,             0.25641,             0.20479,            0.081701,            0.048916,            0.018806,                   0,            0.063019,           0.0040188,           0.0040188
                   3,            0.068059,            0.029424,                   0,             0.24873,             0.33966,             0.17092,            0.046198,            0.043732,            0.012885,                   0,            0.050337,           0.0053367,           0.0053367
                   4,             0.06606,            0.026864,                   0,              0.2175,             0.38462,             0.20111,            0.080334,            0.042177,            0.012447,                   0,            0.037627,           0.0066268,           0.0066268
                   5,            0.062392,            0.025802,                   0,               0.474,             0.53155,             0.48331,             0.18515,            0.034932,            0.010837,                   0,            0.024889,           0.0078891,           0.0078891
                   6,            0.062092,            0.022832,                   0,             0.23405,             0.46154,             0.19105,            0.051268,            0.045064,           0.0097268,                   0,            0.012124,           0.0091238,           0.0091238
                   7,            0.061039,            0.021512,                   0,             0.35552,             0.51282,              0.3539,             0.14166,            0.042421,           0.0082154,                   0,            0.009307,            0.009307,            0.009307
                   8,            0.053389,            0.021514,                   0,             0.44616,             0.48718,             0.40825,             0.14685,            0.038754,           0.0084666,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.050811,            0.021954,                   0,             0.35358,             0.30769,             0.23603,            0.098414,            0.051049,           0.0084976,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.048873,             0.02073,                   0,             0.36976,             0.43627,             0.41229,             0.18737,             0.03344,           0.0097967,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.047697,            0.020325,                   0,             0.69806,             0.35897,             0.46479,             0.16521,            0.039157,           0.0082642,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.046705,            0.018965,                   0,             0.54512,             0.64103,             0.60739,             0.29589,            0.033171,           0.0079663,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.043837,            0.018354,                   0,             0.70965,             0.53846,             0.64575,             0.26794,            0.037125,            0.007177,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.041458,            0.018732,                   0,             0.51275,             0.67467,             0.52096,             0.28821,            0.033717,            0.007324,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.042249,            0.016696,                   0,             0.80989,             0.65561,             0.74845,              0.4553,              0.0305,           0.0069269,                   0,            0.008614,            0.008614,            0.008614
                  16,              0.0403,            0.016375,                   0,             0.72665,             0.68178,             0.76166,             0.44057,            0.036196,           0.0070915,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.042588,            0.016592,                   0,             0.82862,              0.5641,             0.72395,             0.36855,            0.030981,           0.0072041,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.038914,            0.015739,                   0,             0.70975,             0.71795,             0.69784,             0.31763,            0.037523,           0.0070849,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.037583,            0.015494,                   0,             0.87865,             0.61538,             0.73613,             0.43438,            0.031163,           0.0068046,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.03501,            0.015555,                   0,             0.95611,             0.55871,             0.74588,             0.39942,            0.029823,           0.0069998,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.034003,            0.014759,                   0,             0.91895,             0.58164,             0.76386,             0.38125,            0.031776,           0.0073494,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.035912,            0.015242,                   0,              0.9625,             0.65832,             0.81011,              0.5123,            0.031383,           0.0063602,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.033179,             0.01508,                   0,             0.98185,             0.66667,             0.84029,             0.46982,            0.027681,           0.0059117,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.035284,             0.01448,                   0,             0.78699,             0.82051,             0.85106,             0.40146,            0.034182,           0.0059494,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.032278,             0.01385,                   0,             0.79944,             0.76923,             0.83798,             0.43063,             0.02799,           0.0064866,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.033774,            0.015001,                   0,             0.69167,             0.87179,              0.8207,             0.56072,            0.033549,           0.0059668,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.032839,            0.015549,                   0,             0.90778,             0.75738,             0.84537,             0.49168,            0.027719,           0.0065257,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.03234,            0.014723,                   0,             0.84966,             0.72469,             0.83033,             0.50458,            0.028113,           0.0070653,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.030388,            0.013692,                   0,             0.96869,             0.79346,             0.86458,             0.55174,            0.030668,           0.0061863,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.031668,            0.014412,                   0,             0.96065,             0.82051,             0.86759,             0.61408,            0.032337,           0.0053772,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.032141,             0.01327,                   0,             0.92909,             0.74359,             0.84762,             0.61055,            0.029039,           0.0056177,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.030741,            0.013621,                   0,             0.94845,             0.71795,             0.84079,             0.56564,            0.027555,           0.0056727,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.029462,            0.012014,                   0,             0.83075,             0.79487,             0.84016,             0.50491,            0.028451,           0.0061651,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.02987,            0.012329,                   0,             0.89413,             0.74359,             0.84122,              0.5901,             0.02869,           0.0057578,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.028408,            0.012786,                   0,             0.90239,              0.7113,             0.82284,             0.57566,            0.031813,           0.0054889,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.028929,            0.012521,                   0,             0.77447,             0.79487,             0.81941,             0.54717,            0.029267,           0.0055835,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.028801,            0.013634,                   0,             0.86009,             0.78825,             0.83054,             0.53901,            0.029675,            0.005617,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.029384,            0.011913,                   0,             0.88509,             0.79011,             0.83984,             0.49219,            0.030908,           0.0056477,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.026863,             0.01288,                   0,             0.78724,             0.75918,              0.8052,             0.45184,            0.031842,           0.0063405,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.030993,            0.012541,                   0,             0.90388,             0.72351,             0.82244,             0.54777,            0.029939,           0.0060081,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.027595,            0.012716,                   0,                   1,             0.71304,              0.8475,             0.58695,            0.027956,           0.0057039,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.02994,            0.013634,                   0,             0.91418,             0.81947,             0.85712,             0.63359,            0.027731,            0.005669,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.027075,            0.012893,                   0,             0.99136,             0.71795,             0.84683,             0.62822,            0.027304,           0.0054816,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026782,            0.012937,                   0,             0.88304,             0.77444,             0.85468,             0.58197,            0.027419,           0.0057391,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.02714,            0.012007,                   0,                   1,              0.7638,             0.86901,             0.64311,            0.023999,           0.0060907,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.028961,            0.011701,                   0,             0.96516,             0.71055,             0.86374,             0.55871,            0.027621,           0.0062888,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.026126,             0.01243,                   0,             0.69989,             0.79487,             0.83079,             0.54933,            0.023951,           0.0066737,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.028235,            0.012618,                   0,             0.74715,             0.75782,             0.80149,             0.52466,            0.029376,           0.0067327,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024558,            0.012197,                   0,             0.73787,             0.71795,             0.79032,             0.50424,            0.028746,           0.0067484,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025515,            0.012141,                   0,             0.79469,             0.79399,             0.82865,             0.57344,            0.028889,           0.0060821,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024023,            0.011609,                   0,              0.9267,             0.64855,             0.81339,              0.5662,            0.029096,            0.005975,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025442,            0.011858,                   0,             0.96058,             0.62511,             0.80061,             0.54911,            0.027069,           0.0061603,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.026515,            0.011135,                   0,             0.93083,             0.69022,             0.81149,             0.54714,            0.028122,           0.0059523,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024274,            0.011736,                   0,              0.9213,             0.71795,             0.83511,             0.60271,            0.027802,           0.0052733,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.023853,             0.01096,                   0,             0.90467,              0.7302,             0.84981,             0.64123,            0.028723,           0.0050754,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.024996,            0.010676,                   0,             0.97204,             0.69231,             0.84802,             0.63115,            0.026952,           0.0052229,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.024001,            0.011718,                   0,             0.98821,             0.71795,             0.84924,             0.64198,            0.027421,           0.0052381,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.023563,            0.010342,                   0,              0.9322,             0.70536,             0.83429,             0.60865,            0.028907,           0.0053405,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022791,            0.011197,                   0,             0.78384,             0.65105,             0.77291,             0.57881,            0.029225,           0.0058088,                   0,            0.004258,            0.004258,            0.004258
                  60,              0.0233,            0.010768,                   0,              0.8855,             0.58974,             0.77388,             0.56172,            0.029893,           0.0063086,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.023773,            0.011398,                   0,             0.74841,             0.76287,             0.82891,             0.60574,            0.025816,           0.0059741,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022108,            0.010605,                   0,             0.95742,             0.64103,             0.83665,             0.61323,            0.022623,             0.00601,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.021892,            0.010976,                   0,             0.98417,             0.64103,             0.83466,              0.5688,            0.023737,            0.006513,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.023654,            0.011118,                   0,             0.96226,             0.64103,              0.8402,             0.58842,            0.026881,           0.0062637,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023991,               0.011,                   0,             0.71552,             0.84615,             0.85053,             0.57487,             0.02415,           0.0062085,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.020448,            0.010811,                   0,              0.7227,             0.87179,             0.85034,             0.60487,            0.021771,           0.0062449,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.024453,             0.01086,                   0,             0.75001,             0.87179,             0.86857,             0.63631,            0.023559,           0.0055523,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023741,             0.01091,                   0,             0.84041,             0.81034,             0.86343,             0.64989,            0.023471,           0.0055599,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.022652,            0.010566,                   0,             0.93325,             0.76923,             0.84253,             0.62045,            0.026235,           0.0055807,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023578,            0.011334,                   0,             0.97766,             0.74359,             0.84513,             0.61182,            0.026652,           0.0055936,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.022435,            0.011182,                   0,             0.86348,             0.81105,              0.8519,             0.61893,            0.027061,           0.0054917,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022571,            0.011051,                   0,             0.91059,             0.78358,             0.86025,             0.65043,            0.026214,           0.0051487,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020492,           0.0099405,                   0,             0.92311,             0.76923,             0.88009,             0.64203,            0.028578,           0.0050773,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021595,            0.010595,                   0,             0.93351,             0.79487,             0.86492,              0.6539,            0.027383,           0.0050013,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019851,            0.010004,                   0,             0.93871,             0.78566,             0.85164,             0.64111,            0.027217,           0.0052045,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020471,            0.010335,                   0,             0.87519,             0.79487,             0.84775,             0.64562,            0.027189,           0.0050644,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020917,            0.010244,                   0,             0.88954,             0.82051,             0.87855,             0.65881,            0.027328,           0.0053188,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.020899,            0.010602,                   0,             0.85822,             0.77621,             0.87194,             0.63383,            0.027518,           0.0056023,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020499,            0.010451,                   0,             0.99274,             0.66667,             0.86319,             0.62532,            0.028373,           0.0057752,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.021654,            0.010173,                   0,                   1,             0.63998,             0.81878,             0.60665,            0.029731,           0.0060123,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020605,            0.010177,                   0,              0.7826,             0.69231,             0.82034,             0.59199,            0.028856,            0.006312,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019904,           0.0096107,                   0,             0.70277,             0.78823,             0.79885,             0.56944,            0.029126,           0.0063702,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020375,           0.0095809,                   0,             0.76462,             0.76923,              0.8142,             0.59991,            0.027455,            0.005976,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018719,           0.0096566,                   0,             0.78811,             0.76308,              0.8188,             0.59262,            0.028086,           0.0058179,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017985,           0.0087283,                   0,             0.96052,             0.66667,              0.8275,             0.60379,             0.02789,           0.0056499,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019118,           0.0096355,                   0,             0.95818,             0.66667,             0.81312,              0.5985,            0.027426,           0.0059931,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019223,           0.0094862,                   0,             0.96427,             0.69231,             0.82985,             0.61143,            0.027122,           0.0061737,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.020302,            0.010357,                   0,             0.93067,             0.68847,              0.8232,             0.61296,            0.026655,           0.0061654,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.020789,            0.010013,                   0,             0.98501,             0.64103,             0.81816,             0.60208,             0.02582,            0.006014,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018158,            0.010449,                   0,             0.99973,             0.66667,             0.83789,             0.62121,            0.025734,           0.0058123,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017629,           0.0088854,                   0,             0.95776,             0.66667,             0.83593,             0.61647,            0.025839,           0.0058167,                   0,             0.00109,             0.00109,             0.00109
