               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10072,            0.021541,                   0,             0.16385,             0.20513,             0.16649,            0.038711,            0.065189,            0.011612,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.076624,            0.026805,                   0,             0.34503,             0.33333,             0.31213,             0.10332,            0.061323,            0.010125,                   0,            0.050446,           0.0054456,           0.0054456
                   2,            0.072757,            0.024801,                   0,              0.3208,             0.30769,             0.22936,             0.07906,            0.061861,           0.0094161,                   0,            0.025136,           0.0081357,           0.0081357
                   3,            0.069076,            0.024274,                   0,             0.27192,             0.57464,             0.25435,            0.090321,            0.053491,           0.0093783,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.066354,            0.022374,                   0,              0.2811,              0.4359,             0.32248,             0.10416,            0.057421,           0.0082712,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.058718,            0.023777,                   0,              0.7471,             0.53846,              0.6421,             0.29539,            0.046019,            0.008253,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.055769,            0.021933,                   0,             0.77971,              0.4359,             0.63111,             0.31083,            0.045893,           0.0084255,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.050847,            0.019534,                   0,             0.88615,              0.5641,             0.69478,             0.36575,             0.05097,           0.0080399,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.050384,            0.018781,                   0,             0.69707,              0.5641,             0.60797,               0.263,            0.047993,           0.0073214,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.047727,            0.018389,                   0,             0.78362,              0.6502,             0.78896,             0.46809,            0.034487,           0.0072778,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043142,            0.017066,                   0,             0.76973,             0.60017,             0.68503,             0.46629,            0.044303,           0.0069087,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.044224,            0.016719,                   0,             0.83892,             0.66667,             0.76569,             0.51868,            0.031524,           0.0069225,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.041112,            0.016217,                   0,              0.6625,             0.70481,             0.70679,              0.4144,            0.035377,           0.0065189,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.039008,            0.015562,                   0,             0.81293,             0.69231,             0.74894,             0.50606,            0.039079,           0.0061986,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.037846,            0.016087,                   0,             0.84234,             0.71795,             0.80267,             0.51589,            0.038981,           0.0059787,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.037773,            0.014508,                   0,             0.90178,             0.70648,               0.826,             0.49261,            0.029141,           0.0064907,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.035576,            0.013668,                   0,             0.87253,             0.74359,             0.83314,             0.51158,            0.030664,           0.0062138,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.035436,            0.014069,                   0,              0.8983,             0.71795,             0.83177,             0.49651,            0.031183,           0.0062874,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.036538,            0.013827,                   0,             0.84226,             0.74359,              0.8298,             0.56164,            0.032958,           0.0060798,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.034948,            0.012968,                   0,             0.83401,             0.77308,             0.81514,             0.61753,            0.028326,           0.0062485,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.03219,            0.013149,                   0,             0.78518,             0.74989,             0.80982,             0.62683,            0.031422,           0.0058919,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.033141,             0.01241,                   0,             0.80379,             0.79487,               0.839,             0.60249,            0.027843,           0.0061332,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.029224,            0.013576,                   0,             0.81362,             0.87179,             0.84237,             0.53559,            0.028854,           0.0058594,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.032336,            0.012616,                   0,             0.81539,             0.82051,             0.83671,             0.59193,            0.031048,           0.0059034,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031248,            0.013621,                   0,             0.83917,             0.76923,             0.83831,             0.56829,            0.031212,            0.006012,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.030061,             0.01182,                   0,             0.85266,             0.76923,             0.83214,             0.60036,             0.02829,            0.005789,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.028628,            0.012645,                   0,             0.82587,             0.82051,             0.83445,             0.63508,            0.028853,           0.0059392,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.030674,             0.01355,                   0,             0.90793,             0.75871,             0.85491,             0.62096,             0.03003,            0.006133,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.029457,            0.012409,                   0,             0.79491,             0.79508,             0.85185,             0.62638,            0.028393,           0.0062082,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.028899,            0.012855,                   0,             0.91917,             0.74359,             0.84879,             0.64157,            0.026001,            0.006588,                   0,            0.007228,            0.007228,            0.007228
